Barcode No.,DSM-Number,bx-number,Lot-Number,Data Sequencing Source,Sequencing Date,Bacteria Strain,Animal,Galaxy Analysis Date,History Link,Comments
Barcode 1,DSM 9221,3042819,0517,Biolytix,17.02.2022,Salmonella enterica subsp. Houtenae (1),Pure Pathogen,28.03.2023,Link,
Barcode 2,DSM 554,3042821,0404,Biolytix,17.02.2022,Salmonella enterica subsp. Enterica (4),Pure Pathogen,28.03.2023,,
Barcode 3,DSM 9220,3042820,0116,Biolytix,17.02.2022,Salmonella enterica subsp. Salamae (2),Pure Pathogen,28.03.2023,,
Barcode 4,DSM 4688,3042825,-,Biolytix,17.02.2022,Campylobacter jejuni subsp. Jejuni (3),Pure Pathogen,28.03.2023,,
Barcode 5,DSM 4689,3042826,0219,Biolytix,17.02.2022,Campylobacter coli (7),Pure Pathogen,28.03.2023,,
Barcode 6,DSM 11375,3042827,1219,Biolytix,17.02.2022,Campylobacter coli (7),Pure Pathogen,28.03.2023,,
Barcode 7,DSM 20600,3042822,1020,Biolytix,17.02.2022,Listeria monocytogenes (5) 20600,Pure Pathogen,28.03.2023,,
Barcode 8,DSM 19094,3042823,1120,Biolytix,17.02.2022,Listeria monocytogenes (6) 19094,Pure Pathogen,28.03.2023,,
Barcode 9,DSM 20750,3042824,1019,Biolytix,17.02.2022,Listeria ivanovii subsp. Ivanovii (9),Pure Pathogen,28.03.2023,,
Barcode 1,DSM 9221,3042819,0517,Biolytix,10.05.2022,Salmonella enterica subsp. Houtenae (1),Pure Pathogen,,,
Barcode 2,DSM 554,3042821,0404,Biolytix,10.05.2022,Salmonella enterica subsp. Enterica (4),Pure Pathogen,,,
Barcode 3,DSM 9220,3042820,0116,Biolytix,10.05.2022,Salmonella enterica subsp. Salamae (2),Pure Pathogen,,,
Barcode 4,DSM 4688,3042825,-,Biolytix,10.05.2022,Campylobacter jejuni subsp. Jejuni (3),Pure Pathogen,,,
Barcode 5,DSM 4689,3042826,0219,Biolytix,10.05.2022,Campylobacter coli (7),Pure Pathogen,,,
Barcode 7,DSM 20600,3042822,1020,Biolytix,10.05.2022,Listeria monocytogenes (5) 20600,Pure Pathogen,,,
Barcode 8,DSM 19094,3042823,1120,Biolytix,10.05.2022,Listeria monocytogenes (6) 19094,Pure Pathogen,,,
Barcode 9,DSM 20750,3042824,1019,Biolytix,10.05.2022,Listeria ivanovii subsp. Ivanovii (9),Pure Pathogen,,,
Barcode 10,DSM 554,3042821,0404,Biolytix,19.06.2022,Salmonella enterica subsp. Enterica spike+enrichment,Chicken,,,
Barcode 11,DSM 9221,3042819,0517,Biolytix,19.06.2022,Salmonella enterica subsp. Houtenae spike+enrichment,Chicken,,,
Barcode 12,DSM 9220,3042820,0116,Biolytix,19.06.2022,Salmonella enterica subsp. Salamae spike+enrichment,Chicken,,,
Barcode 13,DSM 554,3042821,0404,Biolytix,19.06.2022,Salmonella enterica subsp. Enterica spike,Chicken,,,
Baecode 14,DSM 9221,3042819,0517,Biolytix,19.06.2022,Salmonella enterica subsp. Houtenae spike,Chicken,,,
Barcode 15,DSM 9220,3042820,0116,Biolytix,19.06.2022,Salmonella enterica subsp. Salamae spike,Chicken,,,
Unclassified,,,,Biolytix,19.06.2022,,Chicken,,,
Barcode 10,DSM 554,3042821,0404,Biolytix,14.07.2022,Salmonella enterica subsp. Enterica spike+enrichment,Chicken,,,
Barcode 11,DSM 9221,3042819,0517,Biolytix,14.07.2022,Salmonella enterica subsp. Houtenae spike+enrichment,Chicken,,,
Barcode 12,DSM 9220,3042820,0116,Biolytix,14.07.2022,Salmonella enterica subsp. Salamae spike+enrichment,Chicken,,,
Barcode 13,DSM 554,3042821,0404,Biolytix,14.07.2022,Salmonella enterica subsp. Enterica spike,Chicken,,,
Baecode 14,DSM 9221,3042819,0517,Biolytix,14.07.2022,Salmonella enterica subsp. Houtenae spike,Chicken,,,
Barcode 15,DSM 9220,3042820,0116,Biolytix,14.07.2022,Salmonella enterica subsp. Salamae spike,Chicken,,,
Unclassified,,,,,,,Chicken,,,
Barcode 10,DSM 554,3042821,0404,Biolytix,20.07.2022,Salmonella enterica subsp. Enterica spike+enrichment,Chicken,,,
Barcode 11,DSM 9221,3042819,0517,Biolytix,20.07.2022,Salmonella enterica subsp. Houtenae spike+enrichment,Chicken,,,
Barcode 12,DSM 9220,3042820,0116,Biolytix,20.07.2022,Salmonella enterica subsp. Salamae spike+enrichment,Chicken,,,
Barcode 13,DSM 554,3042821,0404,Biolytix,20.07.2022,Salmonella enterica subsp. Enterica spike,Chicken,,,
Baecode 14,DSM 9221,3042819,0517,Biolytix,20.07.2022,Salmonella enterica subsp. Houtenae spike,Chicken,,,
Barcode 15,DSM 9220,3042820,0116,Biolytix,20.07.2022,Salmonella enterica subsp. Salamae spike,Chicken,,,
Unclassified,,,,,20.07.2022,,Chicken,,,
Barcode 10,DSM 554,3042821,0404,Biolytix,18.08.2022,Salmonella enterica subsp. Enterica spike+enrichment,Chicken,,,
Barcode 11,DSM 9221,3042819,0517,Biolytix,18.08.2022,Salmonella enterica subsp. Houtenae spike+enrichment,Chicken,,,
Barcode 12,DSM 9220,3042820,0116,Biolytix,18.08.2022,Salmonella enterica subsp. Salamae spike+enrichment,Chicken,,,
Barcode 13,DSM 554,3042821,0404,Biolytix,18.08.2022,Salmonella enterica subsp. Enterica spike,Chicken,,,
Baecode 14,DSM 9221,3042819,0517,Biolytix,18.08.2022,Salmonella enterica subsp. Houtenae spike,Chicken,,,
Barcode 15,DSM 9220,3042820,0116,Biolytix,18.08.2022,Salmonella enterica subsp. Salamae spike,Chicken,,,
Unclassified,,,,Biolytix,18.08.2022,,Chicken,,,
Barcode1,DSM 554,3042821,0404,Biolytix,30.11.2022,Salmonella enterica subsp. Enterica spike to chicken 1.2x10^6 CFU (1:E+3 dilution step),Chicken,17.02.2023,Link,
Barcode2,,,,Biolytix,30.11.2022,Salmonella enterica subsp. Enterica spike to chicken 2.9x10^5 CFU (1:E+4 dilution step),Chicken,17.02.2023,,
Barcode3,,,,Biolytix,30.11.2022,Salmonella enterica subsp. Enterica spike to chicken 5.3x10^4 CFU (1:E+5 dilution step),Chicken,17.02.2023,,
Barcode4,,,,Biolytix,30.11.2022,Salmonella enterica subsp. Enterica spike to chicken 1.4x10^3 CFU (1:E+6 dilution step),Chicken,17.02.2023,,
Barcode5,DSM 9221,3042819,0517,Biolytix,30.11.2022,Salmonella enterica subsp. Houtenae spike to chicken 6.1x10^5 CFU (1:E3 dilution step),Chicken,17.02.2023,,
Barcode6,,,,Biolytix,30.11.2022,Salmonella enterica subsp. Houtenae spike to chicken  6.8x10^4 CFU (1:E4 dilution step),Chicken,17.02.2023,,
Barcode7,,,,Biolytix,30.11.2022,Salmonella enterica subsp. Houtenae spike to chicken  6.8x10^3 CFU (1:E5 dilution step),Chicken,17.02.2023,,
Barcode8,,,,Biolytix,30.11.2022,Salmonella enterica subsp. Houtenae spike to chicken  8x10^2 CFU (1:E6 dilution step),Chicken,17.02.2023,,
Barcode9,DSM 9220,3042820,0116,Biolytix,30.11.2022,Salmonella enterica subsp. Salamae spike to chicken 2.4x10^4 CFU (1+E3 dilution step),Chicken,17.02.2023,,
Barcode10,,,,Biolytix,30.11.2022,Salmonella enterica subsp. Salamae spike to chicken 2.1x10^3 CFU (1+E4 dilution step),Chicken,17.02.2023,,
Barcode11,,,,Biolytix,30.11.2022,Salmonella enterica subsp. Salamae spike to chicken 2.2x10^2 CFU (1+E5 dilution step),Chicken,17.02.2023,,
Barcode12,,,,Biolytix,30.11.2022,Salmonella enterica subsp. Salamae spike to chicken 10 CFU (1+E6 dilution step),Chicken,17.02.2023,,
Barcode13,,,,Biolytix,30.11.2022,Mix 1 (1:1:10):  1x S.Houtenea + 1x S.enterica + 10x S.Salamae spike to chicken,Chicken,17.02.2023,,
Barcode14,,,,Biolytix,30.11.2022,Mix 2 (1:10:1):  1x S.Houtenea + 10x S.enterica + 1x S.Salamae spike to chicken,Chicken,17.02.2023,,
Barcode15,,,,Biolytix,30.11.2022,Mix 3 (10:1:1):  10x S.Houtenea + 1x S.enterica + 1x S.Salamae spike to chicken,Chicken,17.02.2023,,
Barcode16,,,,Biolytix,30.11.2022,Mix 4 (5:5:5):  5x S.Houtenea + 5x S.enterica + 5x S.Salamae spike to chicken,Chicken,17.02.2023,,
Unclassified,,,,Biolytix,30.11.2022,,Chicken,17.02.2023,,
1,S231,,,Palestine ,2021,Salmonella enterica,Chicken Stool,,,
2,S239,,,Palestine ,2021,Salmonella enterica,Chicken Stool,,,
3,SF2707-H,,,Palestine ,2021,Salmonella enterica,Chicken Stool,,,
4,SF2710-H,,,Palestine ,2021,Salmonella enterica,Chicken Stool,,,
5,SF2714-H,,,Palestine ,2021,Salmonella enterica,Chicken Stool,,,
6,Human122,,,Palestine ,2021,Salmonella enterica,Human Stool,,,
7,S246,,,Palestine ,2021,Salmonella enterica,Chicken Stool,,,
8,S244,,,Palestine ,2021,Salmonella enterica,Chicken Stool,,,
9,Sm703,,,Palestine ,2021,Salmonella enterica,Meat,,,
10,Sm701,,,Palestine ,2021,Salmonella enterica,Meat,,,
11,Sm506,,,Palestine ,2021,Salmonella enterica,Meat,,,
12,Sm509,,,Palestine ,2021,Salmonella enterica,Meat,,,
13,Sm533,,,Palestine ,2021,Salmonella enterica,Meat,,,
14,Sm531,,,Palestine ,2021,Salmonella enterica,Meat,,,
15,Sm521,,,Palestine ,2021,Salmonella enterica,Meat,,,
16,Sm511,,,Palestine ,2021,Salmonella enterica,Meat,,,
17,SH1,,,Palestine ,2022,Salmonella enterica,Human Stool,,,
18,SH2,,,Palestine ,2022,Salmonella enterica,Human Stool,,,
19,SH3,,,Palestine ,2022,Salmonella enterica,Human Stool,,,
20,CM503,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
21,CM509,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
22,CM518,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
23,CM525,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
24,CM514,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
25,CM511,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
26,CM580,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
27,CM537,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
28,CM571,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
29,CM554,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
30,CM549,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
31,CM550,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
32,CM575,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
33,CM556,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
34,CM527,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
35,CM543,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
36,CM539,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
37,CM564,,,Palestine ,2021,Campylobacter jejuni,Meat,,,
38,SF2709-H,,,Palestine ,2021,Campylobacter jejuni,Chicken Stool,,,
39,SF2702-H,,,Palestine ,2021,Campylobacter jejuni,Chicken Stool,,,
40,SF2714-H,,,Palestine ,2021,Campylobacter jejuni,Chicken Stool,,,
41,SF2711-H,,,Palestine ,2021,Campylobacter jejuni,Chicken Stool,,,
42,SF2706-H,,,Palestine ,2021,Campylobacter jejuni,Chicken Stool,,,
43,SF2705-H,,,Palestine ,2021,Campylobacter jejuni,Chicken Stool,,,
44,SF2723-H,,,Palestine ,2021,Campylobacter jejuni,Chicken Stool,,,
45,SF2722-H,,,Palestine ,2021,Campylobacter jejuni,Chicken Stool,,,
46,SF2724-H,,,Palestine ,2021,Campylobacter jejuni,Chicken Stool,,,
47,SF2703-H,,,Palestine ,2021,Campylobacter jejuni,Chicken Stool,,,
48,SF2701-H,,,Palestine ,2021,Campylobacter jejuni,Chicken Stool,,,
49,S23,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
50,S25,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
51,S31,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
52,S45,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
53,S46,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
54,S47,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
55,S49,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
56,S50,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
57,S51,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
58,S48,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
60,S87,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
61,S100,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
63,S102,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
64,S103,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
65,S137,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
66,S138,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
67,S139,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
68,S67,,,Palestine ,2021,Campylobacter jejuni,Human Stool,,,
69,CS 1,,,Palestine ,2022,Campylobacter jejuni,Chicken Stool,,,
70,CS 3,,,Palestine ,2022,Campylobacter jejuni,Chicken Stool,,,
71,CS 4,,,Palestine ,2022,Campylobacter jejuni,Chicken Stool,,,
72,CS 5,,,Palestine ,2022,Campylobacter jejuni,Chicken Stool,,,
73,CS 6,,,Palestine ,2022,Campylobacter jejuni,Chicken Stool,,,
74,CS 9,,,Palestine ,2022,Campylobacter jejuni,Chicken Stool,,,
75,CS 10,,,Palestine ,2022,Campylobacter jejuni,Chicken Stool,,,
76,CS 14,,,Palestine ,2022,Campylobacter jejuni,Chicken Stool,,,
77,CS 15,,,Palestine ,2022,Campylobacter jejuni,Chicken Stool,,,
78,CS 18,,,Palestine ,2022,Campylobacter jejuni,Chicken Stool,,,
79,CS 32,,,Palestine ,2022,Campylobacter jejuni,Chicken Stool,,,
80,CS 33,,,Palestine ,2022,Campylobacter jejuni,Chicken Stool,,,
81,CH1,,,Palestine ,2022,Campylobacter jejuni,Human Stool,,,
82,CH2,,,Palestine ,2022,Campylobacter jejuni,Human Stool,,,
83,CH3,,,Palestine ,2022,Campylobacter jejuni,Human Stool,,,
84,CH4,,,Palestine ,2022,Campylobacter jejuni,Human Stool,,,