	Sample Number: S01	Sample Number: S02	Sample Number: S03	Sample Number: S04	Sample Number: S05	Sample Number: S06	Sample Number: S07	Sample Number: S08	Sample Number: S09	Sample Number: S10	Sample Number: S11	Sample Number: S12	Sample Number: S13	Sample Number: S14	Sample Number: S15	Sample Number: S16	Sample Number: S17	Sample Number: S18	Sample Number: S19	Sample Number: S20	Sample Number: S21	Sample Number: S22	Sample Number: S23	Sample Number: S24	Sample Number: S25	Sample Number: S26	Sample Number: S27	Sample Number: S28	Sample Number: S29	Sample Number: S30	Sample Number: S31	Sample Number: S32	Sample Number: S33	Sample Number: S34	Sample Number: S35	Sample Number: S36	Sample Number: S37	Sample Number: S38	Sample Number: S39	Sample Number: S40	Sample Number: S41	Sample Number: S42	Sample Number: S43	Sample Number: S44	Sample Number: S45	Sample Number: S46	Sample Number: S47	Sample Number: S48	Sample Number: S49	Sample Number: S50	Sample Number: S51	Sample Number: S52	Sample Number: S53	Sample Number: S54	Sample Number: S55	Sample Number: S56	Sample Number: S57	Sample Number: S58	Sample Number: S59	Sample Number: S60	Sample Number: S61	Sample Number: S62	Sample Number: S63	Sample Number: S64	Sample Number: S65	Sample Number: S66	Sample Number: S67	Sample Number: S68	Sample Number: S69	Sample Number: S70	Sample Number: S71	Sample Number: S72	Sample Number: S73	Sample Number: S74	Sample Number: S75	Sample Number: S76	Sample Number: S77	Sample Number: S78	Sample Number: S79	Sample Number: S80	Sample Number: S81	Sample Number: S82	Sample Number: S83	Sample Number: S84
flia	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	95.71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.95	100	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07	99.07
flie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flif	80.89	80.89	80.89	80.89	80.89	80.89	80.89	80.89	81.13	80.89	81.13	80.89	80.89	80.89	80.89	80.89	81.13	81.13	81.13	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flig	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	98.69	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.9	100	100	100	100	100	100	100	100	100	100	100	100	99.9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flih	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.31	51.31	51.31	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flii	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	92.27	99.93	100	99.93	99.93	100	100	100	100	100	100	100	99.93	100	99.93	100	100	99.93	100	100	100	100	100	100	100	99.93	100	99.93	100	99.93	100	100	99.93	100	100	100	99.93	100	100	100	99.93	100	99.93	99.78	99.93	99.93	100	100	99.78	99.93	100	100	100	100	100	100	100	100	99.93	100	99.93	99.93	100	100	100	99.93
flik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.78	99.78	99.83	99.83	99.83	99.83	99.83	99.78	99.83	99.83	99.83	99.78	99.83	99.83	99.83	99.83	99.83	99.83	99.83	99.78	99.83	99.78	99.78	99.83	81.41	99.83	99.83	99.83	99.83	99.83	99.78	99.83	99.78	99.78	99.78	99.78	99.83	99.78	99.78	99.83	99.83	99.83	99.83	99.83	99.78	99.83	99.78
flil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.81	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flim	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	100	100	100	100	100	99.91	100	100	100	99.91	99.91	100	99.91	100	100	99.91	100	99.91	100	100	100	100	100	100	100	99.91	100	100	100	100	100	100	99.91	100	100	99.91	100	100	100	100	100	100	100	100	99.91	99.91	100	100	100	100	100	100	99.91	99.91	100	99.91	100	100	100	100	100	100	100	100	100
flin	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	62.59	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	100	99.68	99.68	99.68	99.68	99.68	99.68	100	99.68	100	99.68	99.68	100	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	100	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	100	99.68	99.68	99.68	99.68	100	99.68	99.68	99.68	99.68	99.68	99.68	99.68	100	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68	99.68
flip	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	98.4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.86	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
fliq	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	91.48	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
flir	64.75	64.75	64.75	64.75	64.75	64.75	64.75	64.75	62.58	64.75	62.58	64.75	64.75	64.75	64.75	64.75	64.75	64.75	64.75	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.87	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.87	100	100	99.87	100	100	100	99.87	100	100	100	100	100	99.87	100	100	100	100	100	100	100	100	100	100	99.61
flis	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	99.74	100	100	100	99.74	100	100	100	100	100	100	100	100	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.74	100	100	100	100	99.74	99.74	99.74	99.74	99.74	100	99.74	100	99.74	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
fliw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.74	100	100	100	99.74	100	100	100	100	100	100	100	100	100	100	100	99.74	100	100	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
fliy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
fyua	100	100	100	100	100	100	100	100	0	100	0	100	100	100	99.95	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
galu	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	91.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gmd	65.24	65.24	65.06	65.24	65.24	65.24	65.24	65.24	65.06	65.24	65.06	65.24	65.24	65.24	65.24	65.24	65.24	65.24	65.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gmha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
gmha/lpca	70.6	70.6	70.6	70.6	70.6	70.6	70.6	70.6	70.6	70.6	70.6	70.6	70.6	70.6	70.6	70.6	70.6	70.6	70.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gmha2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
gmhb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	99.82	99.82	99.82	99.82	99.82	99.82	100	100	100	100	99.82	99.82	99.82	99.82	100	99.82	99.82	100	99.47	99.82	99.82	100	99.82	99.82	99.82	99.82	99.82	99.82	99.82	100	100	99.82	99.82	99.82	99.82	99.82	99.82	100	100	100	99.82	99.64	100	100	100	99.82	99.82	99.82	99.82	99.82	99.82	99.82	99.82	99.82	99.82	99.82	99.82	99.82	99.82	99.82	100	100	99.82	99.82
grva	100	100	100	100	100	100	100	100	0	100	0	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gtra	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gtrb	96.34	96.34	96.34	96.34	96.34	96.34	96.34	96.34	97.63	96.34	97.63	96.34	96.34	96.34	96.34	96.34	97.63	97.63	97.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hdda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.61	99.51	99.51	99.61	99.61	99.51	99.51	99.61	99.61	99.61	99.51	99.61	99.61	99.61	99.51	99.51	99.51	99.61	99.61	99.61	99.61	99.61	99.51	99.61	99.51	99.61	99.51	99.61	99.61	99.61	99.61	99.61	99.61	99.61	99.61	99.61	99.61	99.51	99.51	99.51	99.61	99.61	99.51	99.61	99.51	99.61	99.51	99.61	99.51	99.9	100	100	100	100	99.9	100	100	99.9	100	100	100	100	100	100	100
hddc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.75	97.75	97.75	97.75	97.6	97.75	97.75	97.75	97.75	97.75	97.75	97.75	97.75	97.75	97.75	97.6	97.75	97.75	97.75	97.75	97.75	97.75	97.75	97.6	97.75	97.75	97.75	97.6	97.75	97.75	97.75	97.6	97.75	97.75	97.75	97.75	97.6	97.75	97.75	97.6	97.75	97.75	97.75	97.75	97.75	97.75	97.75	97.6	97.6	98.95	98.95	98.95	98.95	98.95	98.95	98.95	98.95	98.95	98.95	98.8	98.95	98.95	98.95	98.95	98.95
hldd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
hlde	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	99.93	100	100	100	100	99.93	99.93	100	99.93	100	100	99.93	100	100	99.86	100	100	100	100	100	100	100	99.93	100	100	100	100	100	100	100	99.93	100	100	99.93	100	100	100	99.93	99.93	100	100	99.86	100	100	100	100	100	100	99.93	99.93	100	100	99.93	100	100	99.93	100	100	100	100	100	100	100	99.93
hsib1/vipa	91.14	91.14	90.56	91.14	91.14	91.14	91.14	91.14	90.56	91.14	90.56	91.14	91.14	91.14	91.14	91.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsic1/vipb	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
htpb	98.91	98.91	98.91	98.91	98.91	98.91	98.91	98.91	98.85	98.91	98.85	98.91	98.91	98.91	98.91	98.91	98.97	98.91	98.91	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	93.59	92.98	92.98	92.98	92.98	92.98	92.98	92.98	92.98	92.98	92.98	92.98	92.98	92.98	92.98	92.98	92.98
htrb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	99.89	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.89	100	100	100	100	100	100	100	100	100	100	100	99.89	100	100	100	100	100	100	99.89	100	100	100	100	100	100	100	100	99.89	100	100	100	100	100	100	100	99.89	100	100	100	100	100	100	100	100	100
icl	82.13	82.13	82.13	82.13	82.13	82.13	82.21	82.13	82.21	82.13	82.21	82.13	82.13	82.13	82.13	82.13	77.47	77.47	77.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ilpa	87.41	87.41	87.41	87.41	87.41	87.41	87.41	87.41	87.41	87.41	87.41	87.41	87.41	87.41	87.41	87.41	87.41	87.41	87.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
inva	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
invb	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
invc	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
inve	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
invf	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
invg	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
invh	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
invi	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
invj	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
irob	95.88	95.88	95.88	95.88	95.88	95.88	95.88	95.88	95.88	95.88	95.88	95.88	95.88	95.88	95.88	95.88	95.88	95.88	95.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iroc	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.5	96.47	96.47	96.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
irod	91.14	91.14	91.14	91.14	91.14	91.14	91.14	91.14	94.31	91.14	94.31	91.14	91.14	91.14	91.14	91.14	94.31	94.31	94.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iroe	85.58	85.58	85.58	85.58	85.58	85.58	85.58	85.58	85.58	85.58	85.58	85.58	85.58	85.58	85.58	85.58	85.48	85.48	85.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iron	99.77	99.77	99.77	99.77	99.77	99.77	99.77	99.77	99.77	99.77	99.77	99.77	99.77	99.77	99.77	99.77	99.77	99.77	99.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
irp1	100	100	100	100	100	100	100	100	0	100	0	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
irp2	100	100	100	100	53.8	100	100	100	0	100	0	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jlpa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
kata	51.2	51.2	51.2	51.2	51.2	51.2	51.2	51.2	0	51.2	0	51.2	51.2	51.2	51.2	51.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kdsa	96.61	96.61	96.61	96.61	96.61	96.61	96.61	96.61	96.61	96.61	96.61	96.61	96.61	96.61	96.61	96.61	96.61	96.61	96.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kdsb	92.55	92.55	92.55	92.55	92.55	92.55	92.55	92.55	92.55	92.55	92.55	92.55	92.55	92.55	92.55	92.55	92.81	92.81	92.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
