	Sample Number: S01	Sample Number: S02	Sample Number: S03	Sample Number: S04	Sample Number: S05	Sample Number: S06	Sample Number: S07	Sample Number: S08	Sample Number: S09	Sample Number: S10	Sample Number: S11	Sample Number: S12	Sample Number: S13	Sample Number: S14	Sample Number: S15	Sample Number: S16	Sample Number: S17	Sample Number: S18	Sample Number: S19	Sample Number: S20	Sample Number: S21	Sample Number: S22	Sample Number: S23	Sample Number: S24	Sample Number: S25	Sample Number: S26	Sample Number: S27	Sample Number: S28	Sample Number: S29	Sample Number: S30	Sample Number: S31	Sample Number: S32	Sample Number: S33	Sample Number: S34	Sample Number: S35	Sample Number: S36	Sample Number: S37	Sample Number: S38	Sample Number: S39	Sample Number: S40	Sample Number: S41	Sample Number: S42	Sample Number: S43	Sample Number: S44	Sample Number: S45	Sample Number: S46	Sample Number: S47	Sample Number: S48	Sample Number: S49	Sample Number: S50	Sample Number: S51	Sample Number: S52	Sample Number: S53	Sample Number: S54	Sample Number: S55	Sample Number: S56	Sample Number: S57	Sample Number: S58	Sample Number: S59	Sample Number: S60	Sample Number: S61	Sample Number: S62	Sample Number: S63	Sample Number: S64	Sample Number: S65	Sample Number: S66	Sample Number: S67	Sample Number: S68	Sample Number: S69	Sample Number: S70	Sample Number: S71	Sample Number: S72	Sample Number: S73	Sample Number: S74	Sample Number: S75	Sample Number: S76	Sample Number: S77	Sample Number: S78	Sample Number: S79	Sample Number: S80	Sample Number: S81	Sample Number: S82	Sample Number: S83	Sample Number: S84
kpsc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.09	53.09	53.04	53.09	53.09	53.09	53.09	53.04	53.09	53	53.09	53.09	53.04	53.09	53.09	53.09	53.09	53.09	53.09	53.09	53.09	53.09	53.09	53.09	53.04	53.09	53.04	53.04	53.09	53.09	53.09	53.09	53.09	53.09	53.09	53.09	53.09	53.09	53.09	53.09	53.09	53.09	52.9	53.09	53.09	53.09	53.09	53.09	53.09	99.95	99.95	99.95	99.9	99.95	99.95	99.95	99.95	99.95	99.9	99.95	99.9	99.9	99.9	99.95	99.95
kpsd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.94	99.94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
kpse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	99.91	100	100	99.91	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.91	100	100	100	100	100	100	100	100	100	100	100	99.91	100	99.82	100	100	100	99.91	100	100	100	99.91	99.91	100	99.91	100	99.91	100	100	99.91	99.91	100	100	100	100	99.91	100
kpsf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.58	99.58	99.58	99.47	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.58	99.47	99.47	99.47	99.58	99.47	99.58	99.58	99.58	99.47	98.95	98.95	98.95	98.95	98.95	98.95	98.95	98.95	98.95	98.95	98.95	98.95	98.95	98.95	98.95	98.95
kpsm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.62	100	100	100	100	100	99.62
kpss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.92	99.92	99.92	99.92	100	99.92	99.92	99.92	99.92	99.92	99.92	100	99.92	99.92	99.92	99.92	100	99.92	99.92	99.92	99.92	99.92	99.92	99.92	99.92	100	99.92	99.92	99.92	99.92	100	99.92	99.92	99.92	99.92	99.92	99.92	99.92	99.92	99.92	99.92	99.92	99.58	99.92	99.92	99.92	99.92	99.92	99.92	100	99.92	99.92	99.92	99.92	99.92	99.92	100	99.92	99.92	99.92	99.92	99.92	100	100	99.92
kpst	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.85	100	99.85	100	99.85	100	99.85	99.85	99.85	99.85	100	100	100	100	99.85	99.85	100	99.85	99.85	99.85	100	100	99.85	99.85	100	100	100	99.85	99.85	100	99.7	99.85	100	99.85	100	99.85	100	99.85	100	100	100	100	100	100	100	100	100	99.85	99.85	99.85	100	100	100	100	99.85	100	99.85	99.85	99.85	99.85	100	99.85	100	100	99.85
lpfa	100	100	100	100	100	100	100	100	0	100	0	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lpfb	100	100	100	100	100	100	100	100	0	100	0	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lpfc	100	100	100	100	100	100	100	100	0	100	0	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lpfd	100	100	100	100	100	100	100	100	0	100	0	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lpfe	100	100	100	100	100	100	100	100	0	100	0	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lpxb	78.52	78.52	78.6	78.52	78.52	78.52	78.52	78.52	78.6	78.52	78.6	78.52	78.52	78.52	78.52	78.52	78.6	78.6	78.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lpxc	93.14	93.14	93.14	93.14	93.14	93.14	93.14	93.14	93.14	93.14	93.14	93.14	93.14	93.14	93.14	93.14	93.14	93.14	93.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lpxd	59.84	59.84	59.84	59.84	59.84	59.84	59.84	59.84	59.84	59.84	59.84	59.84	59.84	59.84	59.84	59.84	59.84	59.84	59.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
luxs	80.15	80.15	80.15	80.15	80.15	80.15	80.15	80.15	80.15	80.15	80.15	80.15	80.15	80.15	80.15	80.15	80.15	80.15	80.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.47	82.47	82.47	82.47	82.47	82.47	82.47	82.47	82.47	82.47	82.47	82.47	82.47	82.47	82.47	82.47
manb	74.76	74.76	74.76	74.76	74.76	74.76	74.76	74.76	74.47	74.76	74.47	74.76	74.76	74.76	74.76	74.76	74.62	74.62	74.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mgtb	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mgtc	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mig-14	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
misl	100	100	100	100	100	100	100	100	99.48	100	99.48	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mota	93.24	93.24	93.24	93.24	93.24	93.24	93.24	93.24	94.14	93.24	94.14	93.24	93.24	93.24	93.24	93.24	93.24	93.24	93.24	100	99.87	100	99.87	100	100	100	99.74	100	100	99.87	99.87	100	100	99.87	99.87	99.87	100	99.87	99.87	100	100	100	100	99.87	100	100	100	99.87	99.87	100	99.74	100	99.87	99.87	99.74	100	99.87	99.87	99.87	100	100	100	100	100	100	100	99.87	99.87	99.87	100	100	100	100	100	99.87	100	100	100	100	99.87	99.87	100	100	100
motb	60.32	60.32	60.24	60.32	60.32	60.32	60.32	60.32	60.24	60.32	60.24	60.32	60.32	60.32	60.32	60.32	60.32	60.32	60.32	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
neua1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.54	94.48	94.48	94.48	94.54	94.54	94.54	94.48	94.54	94.48	94.48	94.54	94.54	94.54	94.54	94.54
neub1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.8	93.8	93.8	93.8	93.8	93.8	93.8	93.8	93.8	93.8	93.8	93.8	93.8	93.8	93.8	93.8
neuc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.04	85.04	85.04	85.04	85.04	85.04	85.04	85.04	85.04	85.04	85.04	85.04	85.04	85.04	85.04	85.04
ompa	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
orga	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
orgb	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
orgc	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
peba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.74	99.87	100	100	99.87	100	99.87	100	99.87	100	100	100	99.87	100	100	100	99.87	99.87	100	100	100	100	100	99.87	100	100	99.87	100	100	99.87	99.87	100	99.87	100	100	99.87	99.87	100	100	100	99.87	100	100	99.62	100	100	100	100	100	99.87	99.87	100	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	99.87	100
pefa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pefb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pefc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pefd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.7	99.79	99.75	99.79	99.75	99.79	99.79	99.7	99.75	99.7	99.75	99.79	99.79	99.79	99.75	99.79	99.75	99.75	99.79	99.79	99.79	99.7	99.75	99.79	99.75	99.79	99.75	99.75	99.79	99.75	99.79	99.79	99.79	99.79	99.79	99.79	99.75	99.79	99.79	99.83	99.75	99.79	73.22	99.79	99.75	99.75	99.75	99.79	99.79	99.96	99.96	99.92	99.96	99.92	99.96	99.96	99.96	99.96	99.92	99.96	99.96	99.96	99.96	100	99.87
pilw	59.17	59.17	59.17	59.17	59.17	59.17	59.17	59.17	75.68	59.17	75.68	59.17	59.17	59.17	59.17	59.17	75.68	75.68	75.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pipb	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pipb2	100	100	100	100	100	100	100	100	51.85	100	51.85	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pla	83.71	83.71	83.71	83.71	83.71	83.71	83.71	83.71	84.03	83.71	84.03	83.71	83.71	83.71	83.71	83.71	84.03	84.03	84.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
prgh	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prgi	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prgj	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prgk	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
psea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.91	100	99.91	100	99.91	99.82	100	99.91	99.91	100	100	100	100	99.91	99.91	100	100	100	100	99.82	100	100	100	100	100	100	99.91	100	99.74	99.91	100	99.91	99.91	100	99.91	100	100	99.91	100	100	99.74	100	99.65	99.91	100	100	100	99.74	100	99.82	99.91	99.82	99.82	99.82	99.82	99.91	99.91	99.91	99.91	99.91	99.91	99.82	99.91	99.91	99.91
pseb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
psec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.91	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
psed/maf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.13	99.13	99.13	99.13	99.13	99.13	99.13	99.13	99.13	99.13	99.13	99.13	99.13	99.13	99.08	99.13	99.13	99.03	99.13	99.13	99.13	99.13	99.18	99.13	99.13	99.13	99.03	99.18	99.08	99.18	99.18	99.18	99.13	99.13	99.13	99.13	99.13	99.13	99.13	99.13	99.18	99.13	99.03	99.08	99.13	99.13	99.13	99.03	99.13	99.85	99.85	99.85	99.85	99.85	99.85	99.9	99.9	99.85	99.85	99.85	99.9	99.85	99.85	99.85	99.85
psee/maf5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.79	0	99.95	100	100	100	99.95	99.89	99.95	100	99.95	99.95	99.95	99.95	99.95	100	99.95	99.95	100	100	100	99.95	100	100	99.95	99.95	100	99.95	99.95	99.95	99.95	100	99.95	100	100	100	99.95	99.95	99.95	99.95	100	99.84	100	99.95	99.95	100	99.95	99.95	100	99.89	100	100	100	99.95	99.95	99.95	99.95	99.95	99.95	99.95	99.95	99.95	99.95	100	99.95	100	100
psef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	99.86	100	100	100	99.86	100	100	100	100	100	100	100	100	100	99.71	99.86	100	100	100	100	100	100	100	99.71	100	99.86	99.86	100	99.86	100	100	100	100	100	99.86	100	100	100	99.86	100	100	100	99.86	99.86	100	100	99.86	100	100	100	99.86	100	100	99.86	100	99.86	100	100	100	100	100	100
pseg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.88	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
pseh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	99.79	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
psei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.22	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.32	99.22	99.32	100	99.81	100	100	100	100	100	100	100	100	100	100	100	100	100	100
ptma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.87	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.87	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
ptmb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.86	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
ratb	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rck	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rfad	98.6	98.6	98.6	98.6	98.6	98.6	98.6	98.6	98.6	98.6	98.6	98.6	98.6	98.6	98.6	98.6	98.6	98.6	98.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rfae	77.64	77.64	77.64	77.64	77.64	77.64	77.64	77.64	77.64	77.64	77.64	77.64	77.64	77.64	77.64	77.64	77.64	77.64	77.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rfbc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.51	94.51	94.51	94.51	94.32	94.51	94.51	94.51	94.51	94.51	94.51	94.32	94.32	94.51	94.32	94.32	94.32	94.51	94.32	94.32	94.51	94.51	94.51	94.51	94.32	94.51	94.51	94.32	94.51	94.51	94.32	94.51	94.51	94.51	94.51	94.32	94.32	94.51	94.51	94.51	94.51	94.51	94.51	94.32	94.51	94.51	94.51	94.32	94.51	96.89	96.89	96.89	96.89	96.89	96.89	96.89	96.89	96.89	96.89	96.89	96.89	96.89	96.89	96.89	96.89
rffg	75.25	75.25	75.05	75.25	75.25	75.25	75.25	75.25	75.05	75.25	75.05	75.25	75.25	75.25	75.25	75.25	75.05	75.05	75.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
