Sample ID	Expected Pathogen at Species rank	IDseq (CZID) found species	IDseq (CZID) species result	PathoGFAIR found species	PathoGFAIR species result		Expected Pathogen at Subspecies rank	IDseq (CZID) found subspecies	IDseq (CZID) subspecies result	PathoGFAIR found subspecies	PathoGFAIR subspecies result
Spike1Barcode10	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (96%), Salmonella enterica subsp. houtenae (0.3%),  Salmonella enterica subsp. VII (0.06%),  Salmonella enterica subsp. indica (0.2%), other salmonella enterica (3%)	True Positive
Spike1Barcode11	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (75%), Salmonella enterica subsp. enterica (9%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (2%), other salmonella enterica (9%)	True Positive
Spike1Barcode12	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (33%),  Salmonella enterica subsp. houtenae (13%),  Salmonella enterica subsp. VII (7%),  Salmonella enterica subsp. indica (31%), other salmonella enterica (16%)	False Positive
Spike1Barcode13	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (50%), Salmonella enterica subsp. houtenae (28%),  Salmonella enterica subsp. VII (6%),  Salmonella enterica subsp. indica (11%), other salmonella enterica (6%)	True Positive
Spike1Barcode14	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (79%), Salmonella enterica subsp. enterica (3%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (0.7%), other salmonella enterica (13%)	True Positive
Spike1Barcode15	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (20%),  Salmonella enterica subsp. houtenae (7%),  Salmonella enterica subsp. VII (7%),  Salmonella enterica subsp. indica (47%), other salmonella enterica (20%)	False Positive
Spike2Barcode10	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (93%), Salmonella enterica subsp. houtenae (0.2%),  Salmonella enterica subsp. VII (0.2%),  Salmonella enterica subsp. indica (0.2%), other salmonella enterica (6%)	True Positive
Spike2Barcode11	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (86%), Salmonella enterica subsp. enterica (2%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (0.8%), other salmonella enterica (8%)	True Positive
Spike2Barcode12	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (2%),  Salmonella enterica subsp. houtenae (84%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (8%)	False Positive
Spike2Barcode13	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (50%), Salmonella enterica subsp. houtenae (42%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (4%)	True Positive
Spike2Barcode14	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (80%), Salmonella enterica subsp. enterica (5%),  Salmonella enterica subsp. VII (3%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (10%)	True Positive
Spike2Barcode15	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (29%),  Salmonella enterica subsp. houtenae (50%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (21%)	False Positive
Spike2bBarcode10	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (92%), Salmonella enterica subsp. houtenae (1%),  Salmonella enterica subsp. VII (0.4%),  Salmonella enterica subsp. indica (0.3%), other salmonella enterica (6%)	True Positive
Spike2bBarcode11	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (84%), Salmonella enterica subsp. enterica (4%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (0.9%), other salmonella enterica (7%)	True Positive
Spike2bBarcode12	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (5%),  Salmonella enterica subsp. houtenae (81%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (9%)	False Positive
Spike2bBarcode13	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (44%), Salmonella enterica subsp. houtenae (50%),  Salmonella enterica subsp. VII (2%),  Salmonella enterica subsp. indica (0.4%), other salmonella enterica (4%)	True Positive
Spike2bBarcode14	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (62%), Salmonella enterica subsp. enterica (28%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (0.3%), other salmonella enterica (5%)	True Positive
Spike2bBarcode15	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (49%),  Salmonella enterica subsp. houtenae (50%),  Salmonella enterica subsp. VII (2%),  Salmonella enterica subsp. indica (0.7%), other salmonella enterica (3%)	False Positive
Spike3Barcode10	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (94%), Salmonella enterica subsp. houtenae (0.6%),  Salmonella enterica subsp. VII (0.4%),  Salmonella enterica subsp. indica (0.1%), other salmonella enterica (4%)	True Positive
Spike3Barcode11	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (75%), Salmonella enterica subsp. enterica (3%),  Salmonella enterica subsp. VII (7%),  Salmonella enterica subsp. indica (2%), other salmonella enterica (14%)	True Positive
Spike3Barcode12	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (3%),  Salmonella enterica subsp. houtenae (80%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (11%)	False Positive
Spike3Barcode13	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (0%),  Salmonella enterica subsp. houtenae (100%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (0%)	False Positive
Spike3Barcode14	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (70%), Salmonella enterica subsp. enterica (18%),  Salmonella enterica subsp. VII (3%),  Salmonella enterica subsp. indica (3%), other salmonella enterica (6%)	True Positive
Spike3Barcode15	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (60%),  Salmonella enterica subsp. houtenae (40%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (0%)	False Positive
Spike3bBarcode10	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (93%), Salmonella enterica subsp. houtenae (1%),  Salmonella enterica subsp. VII (0.3%),  Salmonella enterica subsp. indica (0.2%), other salmonella enterica (6%)	True Positive
Spike3bBarcode11	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (82%), Salmonella enterica subsp. enterica (2%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (9%)	True Positive
Spike3bBarcode12	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (3%),  Salmonella enterica subsp. houtenae (85%),  Salmonella enterica subsp. VII (4%),  Salmonella enterica subsp. indica (2%), other salmonella enterica (7%)	False Positive
Spike3bBarcode13	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (50%), Salmonella enterica subsp. enterica (2%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (9%)	True Positive
Spike3bBarcode14	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (68%), Salmonella enterica subsp. enterica (10%),  Salmonella enterica subsp. VII (6%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (15%)	True Positive
Spike3bBarcode15	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (53%),  Salmonella enterica subsp. houtenae (40%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (7%)	False Positive
Spike4Barcode01	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (93%), Salmonella enterica subsp. houtenae (0.1%),  Salmonella enterica subsp. VII (0.1%),  Salmonella enterica subsp. indica (0.2%), other salmonella enterica (7%)	True Positive
Spike4Barcode02	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (94%), Salmonella enterica subsp. houtenae (0.3%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0.3%), other salmonella enterica (6%)	True Positive
Spike4Barcode03	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (94%), Salmonella enterica subsp. houtenae (0.3%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0.3%), other salmonella enterica (6%)	True Positive
Spike4Barcode04	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. enterica		False Negative	Salmonella enterica subsp. enterica (94%), Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (6%)	True Positive
Spike4Barcode05	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp houtenae (96%), Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (4%), other salmonella enterica (0%)	True Positive
Spike4Barcode06	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp. enterica (100%),  Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (0%)	False Positive
Spike4Barcode07	Salmonella enterica	Saccharomyces cerevisiae	False Positive	Methylobacterium radiotolerans	False Positive		Salmonella enterica subsp. houtenae		False Negative		False Negative
Spike4Barcode08	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. houtenae		False Negative	Salmonella enterica subsp. enterica (75%),  Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (25%)	False Positive
Spike4Barcode09	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (35%),  Salmonella enterica subsp. houtenae (12%),  Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (44%), other salmonella enterica (4%)	False Positive
Spike4Barcode10	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (22%),  Salmonella enterica subsp. houtenae (33%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (33%), other salmonella enterica (11%)	False Positive
Spike4Barcode11	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (33%),  Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (33%), other salmonella enterica (33%)	False Positive
Spike4Barcode12	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		Salmonella enterica subsp. salamae		False Negative	Salmonella enterica subsp. enterica (100%),  Salmonella enterica subsp. houtenae (0%),  Salmonella enterica subsp. VII (0%),  Salmonella enterica subsp. indica (0%), other salmonella enterica (0%)	False Positive
Spike4Barcode13	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		1x S.Houtenea + 1x S.enterica + 10x S.Salamae		False Negative	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae (75%), Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (8%), other salmonella enterica (12%) 	True Positive
Spike4Barcode14	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		1x S.Houtenea + 10x S.enterica + 1x S.Salamae		False Negative	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae (80%), Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (2%), other salmonella enterica (14%)	True Positive
Spike4Barcode15	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		10x S.Houtenea + 1x S.enterica + 1x S.Salamae		False Negative	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae (79%), Salmonella enterica subsp. VII (6%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (14%)	True Positive
Spike4Barcode16	Salmonella enterica	Salmonella enterica	True Positive	Salmonella enterica	True Positive		5x S.Houtenea + 5x S.enterica + 5x S.Salamae		False Negative	Salmonella enterica subsp. enterica + Salmonella enterica subsp houtenae (78%), Salmonella enterica subsp. VII (5%),  Salmonella enterica subsp. indica (1%), other salmonella enterica (16%)	True Positive